NumPreceeding	NumFollowing	NumNeighbors	Threshold	Accuracy	Runtime
5	5	1	0.100	0.986607	0:00:00.157223
5	5	1	0.300	0.986607	0:00:00.126157
5	5	1	0.500	0.986607	0:00:00.117580
5	5	1	0.700	0.986607	0:00:00.128431
5	5	1	0.900	0.986607	0:00:00.119630
5	5	1	0.999	0.986607	0:00:00.133080
5	5	3	0.100	0.361353	0:00:00.134349
5	5	3	0.300	0.361353	0:00:00.134745
5	5	3	0.500	0.361353	0:00:00.129318
5	5	3	0.700	0.771522	0:00:00.196646
5	5	3	0.900	0.774870	0:00:00.131990
5	5	3	0.999	0.774870	0:00:00.133659
5	5	5	0.100	0.225923	0:00:00.144743
5	5	5	0.300	0.225923	0:00:00.138100
5	5	5	0.500	0.225923	0:00:00.125982
5	5	5	0.700	0.225923	0:00:00.135784
5	5	5	0.900	0.619526	0:00:00.133668
5	5	5	0.999	0.619526	0:00:00.132801
5	10	1	0.100	0.986607	0:00:00.161239
5	10	1	0.300	0.986607	0:00:00.158052
5	10	1	0.500	0.986607	0:00:00.154072
5	10	1	0.700	0.986607	0:00:00.157132
5	10	1	0.900	0.986607	0:00:00.146142
5	10	1	0.999	0.986607	0:00:00.160979
5	10	3	0.100	0.775927	0:00:00.155290
5	10	3	0.300	0.775927	0:00:00.161450
5	10	3	0.500	0.775927	0:00:00.173563
5	10	3	0.700	0.957001	0:00:00.167841
5	10	3	0.900	0.957001	0:00:00.158017
5	10	3	0.999	0.957001	0:00:00.160923
5	10	5	0.100	0.651423	0:00:00.160091
5	10	5	0.300	0.651423	0:00:00.164490
5	10	5	0.500	0.651423	0:00:00.163156
5	10	5	0.700	0.651423	0:00:00.172511
5	10	5	0.900	0.911622	0:00:00.160854
5	10	5	0.999	0.911622	0:00:00.166005
10	5	1	0.100	0.986607	0:00:00.149703
10	5	1	0.300	0.986607	0:00:00.150613
10	5	1	0.500	0.986607	0:00:00.148196
10	5	1	0.700	0.986607	0:00:00.152101
10	5	1	0.900	0.986607	0:00:00.148521
10	5	1	0.999	0.986607	0:00:00.152886
10	5	3	0.100	0.541281	0:00:00.161833
10	5	3	0.300	0.541281	0:00:00.169945
10	5	3	0.500	0.541281	0:00:00.160266
10	5	3	0.700	0.910212	0:00:00.172671
10	5	3	0.900	0.910212	0:00:00.157507
10	5	3	0.999	0.910212	0:00:00.172504
10	5	5	0.100	0.423297	0:00:00.166998
10	5	5	0.300	0.423297	0:00:00.168433
10	5	5	0.500	0.423297	0:00:00.160277
10	5	5	0.700	0.423297	0:00:00.177125
10	5	5	0.900	0.768438	0:00:00.158129
10	5	5	0.999	0.768438	0:00:00.173512
10	10	1	0.100	0.986607	0:00:00.147331
10	10	1	0.300	0.986607	0:00:00.153171
10	10	1	0.500	0.986607	0:00:00.138221
10	10	1	0.700	0.986607	0:00:00.139821
10	10	1	0.900	0.986607	0:00:00.137493
10	10	1	0.999	0.986607	0:00:00.142359
10	10	3	0.100	0.770993	0:00:00.141341
10	10	3	0.300	0.770993	0:00:00.151004
10	10	3	0.500	0.770993	0:00:00.144835
10	10	3	0.700	0.971451	0:00:00.145061
10	10	3	0.900	0.971451	0:00:00.150901
10	10	3	0.999	0.971451	0:00:00.142788
10	10	5	0.100	0.660939	0:00:00.147203
10	10	5	0.300	0.660939	0:00:00.154410
10	10	5	0.500	0.660939	0:00:00.160511
10	10	5	0.700	0.660939	0:00:00.213849
10	10	5	0.900	0.926337	0:00:00.151785
10	10	5	0.999	0.926337	0:00:00.158399
